<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180302,000000,4.7490000,4.7500000,4.7000000,4.7000000,5734600
20180305,000000,4.6720000,4.7430000,4.6720000,4.7260000,5037700
20180306,000000,4.7420000,4.7440000,4.7300000,4.7400000,4888000
20180307,000000,4.7490000,4.7490000,4.7370000,4.7420000,4600100
20180309,000000,4.7500000,4.7700000,4.7320000,4.7460000,3727400
20180312,000000,4.7580000,4.9080000,4.7580000,4.8050000,14927600
20180313,000000,4.8030000,4.8300000,4.7790000,4.8020000,6800500
20180314,000000,4.7810000,4.8550000,4.7700000,4.8000000,8983600
20180315,000000,4.8200000,5.0000000,4.8200000,4.9000000,16821500
20180316,000000,4.8810000,5.0000000,4.7500000,4.7500000,283279400
20180319,000000,4.7830000,4.8470000,4.7830000,4.8300000,5103500
20180320,000000,4.8200000,4.8400000,4.7650000,4.8300000,6362700
20180321,000000,4.8260000,4.8630000,4.8020000,4.8500000,6897400
20180322,000000,4.8260000,4.8340000,4.8090000,4.8160000,4768400
20180323,000000,4.8050000,4.8490000,4.7800000,4.8210000,18608200
20180326,000000,4.8180000,4.8310000,4.7800000,4.7990000,13098100
20180327,000000,4.8020000,4.8200000,4.7960000,4.8150000,5632300
20180328,000000,4.8160000,4.8200000,4.8000000,4.8100000,4675000
20180329,000000,4.7950000,4.8640000,4.7910000,4.8290000,6485900
20180330,000000,4.8340000,4.8700000,4.8090000,4.8490000,6511900
20180402,000000,4.8420000,4.8640000,4.8140000,4.8160000,4967400
20180403,000000,4.8110000,4.8110000,4.7810000,4.7900000,5458600
20180404,000000,4.7760000,4.8170000,4.7550000,4.7600000,6495900
20180405,000000,4.7660000,4.8230000,4.7600000,4.8050000,7884800
20180406,000000,4.7880000,4.8170000,4.7880000,4.8030000,2872000
20180409,000000,4.8010000,4.8170000,4.6100000,4.6630000,20110800
20180410,000000,4.6970000,4.7090000,4.6450000,4.6450000,3461000
