<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140106,000000,0.0493000,0.0495000,0.0484000,0.0484600,13844400000
20140108,000000,0.0485700,0.0485700,0.0479100,0.0479100,10098210000
20140109,000000,0.0479300,0.0484000,0.0477400,0.0481200,17175470000
20140110,000000,0.0480500,0.0485800,0.0478000,0.0484600,15829500000
20140113,000000,0.0483900,0.0492900,0.0482500,0.0489200,24778910000
20140114,000000,0.0485800,0.0494000,0.0484000,0.0491100,43537800000
20140115,000000,0.0493100,0.0496200,0.0486600,0.0490500,31735520000
20140116,000000,0.0490900,0.0493300,0.0485600,0.0486800,18096890000
20140117,000000,0.0486300,0.0488700,0.0483100,0.0484000,21162510000
20140120,000000,0.0484100,0.0486600,0.0481300,0.0482000,20371340000
20140121,000000,0.0484600,0.0487300,0.0482600,0.0483700,17391360000
20140122,000000,0.0484300,0.0484600,0.0474300,0.0476700,37290550000
20140123,000000,0.0475100,0.0483200,0.0474700,0.0475500,28212770000
20140124,000000,0.0475000,0.0478500,0.0467100,0.0469600,50532900000
20140127,000000,0.0465500,0.0468500,0.0460000,0.0463800,50793050000
20140128,000000,0.0463800,0.0467000,0.0460100,0.0462700,26133220000
20140129,000000,0.0465800,0.0471100,0.0461900,0.0463600,52994030000
20140130,000000,0.0463100,0.0466800,0.0455400,0.0458000,46473430000
20140131,000000,0.0457500,0.0461800,0.0452200,0.0454400,31652040000
20140203,000000,0.0457700,0.0459100,0.0452300,0.0452700,27272250000
20140204,000000,0.0449300,0.0454900,0.0445500,0.0453500,27230160000
20140205,000000,0.0455200,0.0462800,0.0453100,0.0462100,29591850000
20140206,000000,0.0462500,0.0465500,0.0460300,0.0461000,22427830000
20140207,000000,0.0463100,0.0463400,0.0457600,0.0460300,17156210000
20140210,000000,0.0461200,0.0462900,0.0455500,0.0455500,13474630000
20140211,000000,0.0456000,0.0458700,0.0453300,0.0455500,16411420000
20140212,000000,0.0457800,0.0466300,0.0457300,0.0465700,31325710000
20140213,000000,0.0463200,0.0463700,0.0456200,0.0456200,18090820000
20140214,000000,0.0459200,0.0463000,0.0458500,0.0459100,24290630000
20140217,000000,0.0462100,0.0464900,0.0460200,0.0462000,11012700000
20140218,000000,0.0463000,0.0465000,0.0459100,0.0460300,21118480000
20140219,000000,0.0459000,0.0461100,0.0448800,0.0451100,36049590000
20140220,000000,0.0447100,0.0453500,0.0445000,0.0451500,33035510000
20140221,000000,0.0453100,0.0455800,0.0451800,0.0453200,18390620000
20140224,000000,0.0453300,0.0455000,0.0449500,0.0451400,20920150000
20140225,000000,0.0452300,0.0452900,0.0445400,0.0445900,20542900000
20140226,000000,0.0445900,0.0448500,0.0439500,0.0440100,26211310000
20140227,000000,0.0440500,0.0442100,0.0419200,0.0424500,62574120000
20140228,000000,0.0421800,0.0424500,0.0415500,0.0421300,48966560000
20140303,000000,0.0400200,0.0408800,0.0335700,0.0347500,141315020000
20140304,000000,0.0347400,0.0377100,0.0346000,0.0374200,102328870000
20140305,000000,0.0371800,0.0372400,0.0355600,0.0363000,86048430000
20140306,000000,0.0365000,0.0370100,0.0342500,0.0352400,76956820000
20140307,000000,0.0349000,0.0361000,0.0348300,0.0351000,51022710000
20140311,000000,0.0343300,0.0344900,0.0330500,0.0335100,90213980000
20140312,000000,0.0330800,0.0331600,0.0317100,0.0317100,80346410000
20140313,000000,0.0320300,0.0327700,0.0318500,0.0319000,105903980000
20140314,000000,0.0311600,0.0320600,0.0297500,0.0320000,116823380000
20140317,000000,0.0324800,0.0338800,0.0316300,0.0331000,100000420000
20140318,000000,0.0336800,0.0345500,0.0330500,0.0343100,108484620000
20140319,000000,0.0343900,0.0348500,0.0337500,0.0341600,77725560000
20140320,000000,0.0336800,0.0353500,0.0335300,0.0349000,60104510000
20140321,000000,0.0338700,0.0341400,0.0331200,0.0340500,71684800000
20140324,000000,0.0340700,0.0348000,0.0340000,0.0341100,33949250000
20140325,000000,0.0341900,0.0355500,0.0337300,0.0353800,61004420000
20140326,000000,0.0354300,0.0368100,0.0354200,0.0364500,66955120000
20140327,000000,0.0361600,0.0374000,0.0360200,0.0364900,88941170000
20140328,000000,0.0366500,0.0389000,0.0366100,0.0382200,88369680000
20140331,000000,0.0384000,0.0398800,0.0382000,0.0396000,97301900000
20140401,000000,0.0398000,0.0405500,0.0391600,0.0394000,86367950000
20140402,000000,0.0395000,0.0395500,0.0380000,0.0389500,109056520000
20140403,000000,0.0390700,0.0396500,0.0377000,0.0382200,85797760000
20140404,000000,0.0395000,0.0396000,0.0383700,0.0389000,135531150000
20140407,000000,0.0384700,0.0386400,0.0369100,0.0377400,80232490000
20140408,000000,0.0377600,0.0384400,0.0371000,0.0382500,78004200000
20140409,000000,0.0382800,0.0388500,0.0376300,0.0384000,52036610000
