<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;79.5000000;79.7200000;79.0100000;79.5000000;2950600
20140108;000000;79.7000000;79.7900000;78.0000000;78.0500000;8024800
20140109;000000;78.3200000;78.4700000;77.7200000;77.8600000;6330000
20140110;000000;77.6200000;78.3900000;77.2300000;78.1600000;6416800
20140113;000000;78.2300000;79.4300000;78.0100000;79.3500000;7699800
20140114;000000;78.7500000;78.9500000;78.2600000;78.2600000;5701100
20140115;000000;78.5800000;79.4300000;78.4800000;79.1900000;7196500
20140116;000000;79.4800000;79.6900000;79.0100000;79.0200000;4597500
20140117;000000;78.8800000;80.1800000;78.7200000;79.8300000;8050200
20140120;000000;79.6800000;81.4200000;79.5700000;81.1800000;8252300
20140121;000000;81.5900000;81.7100000;80.9100000;81.2300000;5345600
20140122;000000;81.3000000;81.3800000;80.5700000;81.2600000;6699800
20140123;000000;80.9400000;81.8400000;80.7300000;81.0600000;5523700
20140124;000000;80.8000000;80.8000000;79.3000000;79.4900000;8037700
20140127;000000;79.0000000;79.8100000;77.1300000;77.2000000;21122700
20140128;000000;77.3900000;78.2100000;76.2600000;76.6100000;12362800
20140129;000000;77.2000000;77.9200000;76.0100000;76.1600000;12740600
20140130;000000;76.2700000;76.5500000;74.8500000;75.5000000;14379300
20140131;000000;75.6200000;76.3000000;74.9000000;75.0900000;11859400
20140203;000000;75.3900000;75.8000000;74.6500000;74.9800000;9492900
20140204;000000;74.2400000;75.0500000;73.7500000;75.0000000;10849600
20140205;000000;75.3300000;76.1700000;74.8300000;75.8100000;9152300
20140206;000000;76.0700000;77.0900000;75.8000000;76.7500000;9003400
20140207;000000;77.1800000;78.1400000;77.0000000;77.7000000;10513700
20140210;000000;78.2200000;78.2200000;77.1700000;77.2700000;7859400
20140211;000000;77.4300000;78.7900000;77.3800000;78.6900000;8958100
20140212;000000;79.0000000;80.3500000;78.9500000;80.2500000;17523200
20140213;000000;79.8900000;80.1700000;78.5300000;78.7600000;12745800
20140214;000000;79.2400000;79.4600000;78.3600000;78.8700000;10573100
20140217;000000;79.0700000;79.6600000;79.0700000;79.4300000;6315300
20140218;000000;79.3100000;79.8900000;78.6900000;78.9300000;9569700
20140219;000000;78.7300000;78.7300000;77.2100000;77.6900000;9624700
20140220;000000;77.0700000;77.6600000;76.3400000;76.9900000;9445100
20140221;000000;77.6300000;78.0800000;77.1200000;77.7700000;8331700
20140224;000000;77.5500000;77.9000000;77.1800000;77.4500000;4505600
20140225;000000;77.6800000;78.1000000;77.3900000;78.0900000;9319400
20140226;000000;78.0700000;78.4800000;77.5000000;78.0300000;10747500
20140227;000000;77.9800000;78.1500000;76.0400000;76.1900000;14330500
20140228;000000;76.4900000;76.5600000;74.5000000;75.4400000;19403200
20140303;000000;71.6700000;72.9900000;60.0600000;66.1400000;47075300
20140304;000000;66.8000000;71.6900000;66.3900000;71.4500000;39537500
20140305;000000;71.5000000;74.2600000;70.7800000;73.3600000;37258700
20140306;000000;73.5200000;74.5000000;69.3900000;70.6200000;31421800
20140307;000000;70.4400000;71.3300000;68.0000000;68.2600000;24084100
20140311;000000;68.0200000;68.4400000;64.3000000;64.3000000;18473700
20140312;000000;63.6000000;64.1000000;60.0000000;61.4800000;25884800
20140313;000000;62.0000000;62.7900000;59.0100000;59.2500000;27914900
20140314;000000;56.9900000;58.9900000;55.5200000;58.5400000;41592200
20140317;000000;58.9300000;62.9800000;58.9300000;62.7000000;43810000
20140318;000000;63.7500000;66.1800000;62.7300000;65.8800000;35217200
20140319;000000;66.0000000;67.4400000;65.0000000;66.0900000;26854900
20140320;000000;65.3700000;66.4400000;64.7100000;65.5100000;15448300
20140321;000000;63.9700000;65.6900000;63.1000000;64.7800000;15629200
20140324;000000;64.9300000;67.2700000;64.8600000;66.2700000;16199700
20140325;000000;66.2000000;68.2000000;65.9200000;67.3000000;24692200
20140326;000000;67.7800000;68.5000000;67.3700000;67.6800000;31063600
20140327;000000;67.1300000;67.8800000;65.0200000;65.8500000;16604200
20140328;000000;65.9600000;66.4300000;65.3000000;65.6800000;13332500
20140331;000000;65.8500000;67.3000000;65.5600000;67.3000000;17745000
20140401;000000;67.3900000;68.2500000;67.2100000;67.6200000;17306500
20140402;000000;67.9000000;68.0000000;65.1500000;65.6500000;16490800
20140403;000000;65.9700000;66.1900000;65.0200000;65.3500000;11578900
20140404;000000;65.6100000;66.7000000;65.2500000;66.6000000;11950400
20140407;000000;65.6200000;66.4000000;63.7100000;64.0000000;23115400
20140408;000000;64.3000000;64.4800000;63.4800000;64.2400000;15105200
20140409;000000;64.5100000;65.2400000;63.8400000;65.0000000;12690400
20140410;000000;65.4800000;67.2000000;65.2200000;67.1700000;17366400
20140411;000000;66.1400000;67.9600000;65.4500000;67.2100000;34721500
20140414;000000;66.6700000;66.9500000;64.7100000;64.9800000;23446800
20140415;000000;64.3000000;65.1400000;60.0000000;60.1100000;33869500
20140416;000000;60.7900000;62.3000000;58.9900000;61.6300000;38020400
20140417;000000;62.0000000;62.4700000;60.6200000;61.4200000;16532000
20140418;000000;62.7200000;63.3700000;62.1300000;62.3600000;12332100
20140421;000000;62.1600000;62.4700000;61.2500000;61.4300000;8048500
20140422;000000;61.2300000;61.8900000;59.6100000;60.0600000;20102700
20140423;000000;60.2100000;60.3000000;59.1200000;59.8000000;17970000
20140424;000000;59.6500000;60.3200000;57.1100000;58.4500000;33852300
20140425;000000;58.2000000;58.3000000;56.0300000;56.9900000;22924400
20140428;000000;56.0600000;59.4000000;54.9300000;59.2100000;42040100
20140429;000000;59.9800000;60.7800000;58.9400000;59.2000000;19434400
20140430;000000;59.2000000;60.2500000;58.6500000;60.1600000;13713300
20140502;000000;58.0000000;59.9000000;58.0000000;59.6200000;6805200
20140505;000000;59.1600000;59.8500000;59.0000000;59.2500000;7063800
20140506;000000;59.5300000;60.7500000;59.5000000;60.6600000;11205400
20140507;000000;60.3300000;68.4900000;60.0200000;65.5400000;45418100
20140508;000000;65.7900000;66.8900000;64.1500000;65.7500000;28238100
20140512;000000;65.7600000;67.8900000;65.5000000;67.1900000;16243700
20140513;000000;67.3800000;69.3100000;67.0700000;69.1100000;29618600
20140514;000000;69.2400000;69.4500000;67.5000000;67.5000000;20060800
20140515;000000;67.7200000;68.3500000;66.2000000;66.5000000;13423000
20140516;000000;66.0900000;67.5300000;65.6400000;67.1000000;21633100
20140519;000000;67.2300000;68.4800000;67.1100000;68.3400000;15908200
20140520;000000;68.4800000;68.8900000;66.7100000;67.2800000;21137100
20140521;000000;67.4100000;68.1200000;66.4400000;67.8400000;21821800
20140522;000000;68.0700000;68.3900000;66.0100000;67.0000000;20866100
20140523;000000;67.2000000;68.9200000;66.3100000;68.8300000;21671400
20140526;000000;69.0600000;71.0500000;68.6800000;70.6000000;26201000
20140527;000000;70.5500000;70.8400000;68.1300000;68.7000000;23469600
20140528;000000;69.0000000;70.1700000;68.5200000;69.1900000;17893900
20140529;000000;69.6000000;69.7700000;67.1000000;68.7800000;28164300
20140530;000000;68.9100000;69.4000000;68.5300000;68.6500000;10355700
20140602;000000;69.0000000;70.8200000;68.6700000;70.3500000;16389000
20140603;000000;70.0500000;70.7000000;69.0100000;70.4600000;11526300
20140604;000000;70.4000000;72.4000000;70.0200000;71.9100000;18325500
20140605;000000;72.1200000;73.2300000;71.3400000;72.1000000;17389600
20140606;000000;72.2700000;73.0500000;71.6700000;72.8900000;10598900
20140609;000000;73.2000000;73.8000000;73.0700000;73.4000000;7785400
20140610;000000;73.4000000;73.4000000;72.5600000;73.3300000;10326600
20140611;000000;73.4500000;74.0000000;73.1500000;73.6900000;12272200
20140616;000000;71.3500000;71.3900000;69.4100000;69.4500000;19209000
20140617;000000;69.5200000;69.8700000;67.0500000;67.3400000;16094200
20140618;000000;67.4800000;68.6500000;67.1000000;67.5900000;13307000
20140619;000000;68.4000000;68.8000000;67.5000000;67.6700000;14519100
20140620;000000;67.8000000;68.1000000;67.1000000;67.1000000;8642200
20140623;000000;67.5900000;67.9600000;66.2600000;67.6000000;10757600
20140624;000000;67.8800000;69.6900000;67.4900000;69.6600000;15360400
20140625;000000;69.2900000;69.5400000;68.6100000;69.0400000;14341300
20140626;000000;69.2200000;69.9600000;68.7700000;69.4000000;12200500
20140627;000000;69.3600000;70.5300000;69.3600000;70.3000000;9522200
20140630;000000;70.2000000;70.2900000;68.8400000;69.0000000;9270500
20140701;000000;69.0100000;69.2000000;68.3100000;68.5600000;7384500
20140702;000000;68.5000000;69.5500000;68.4500000;69.4000000;8350600
20140703;000000;69.6000000;70.0000000;69.1100000;69.1400000;11038900
20140704;000000;69.4000000;69.4300000;68.0000000;68.0200000;5689100
20140707;000000;68.2200000;69.3500000;68.0000000;69.3000000;8324600
20140708;000000;69.2900000;69.9800000;68.7300000;69.0200000;13214200
20140709;000000;68.9100000;68.9900000;65.8300000;68.7000000;8533600
20140710;000000;68.9100000;69.3200000;66.8000000;67.2900000;10714300
20140711;000000;67.5500000;68.5800000;67.2200000;68.5000000;15162700
20140714;000000;68.9600000;69.0000000;67.7000000;68.0000000;7282500
20140715;000000;68.1500000;68.1600000;67.1200000;67.4100000;7917900
20140716;000000;67.0800000;68.1000000;66.9700000;67.7400000;6517800
20140717;000000;67.6500000;67.6500000;65.5500000;65.5500000;13776700
20140718;000000;64.2000000;64.6500000;63.5300000;63.7000000;19136100
20140721;000000;63.8300000;63.8700000;60.7100000;60.9000000;20333700
20140722;000000;61.3200000;62.9800000;61.3200000;62.7100000;13511400
20140723;000000;62.7100000;63.4900000;61.1300000;61.7600000;15021600
20140724;000000;61.8400000;62.0200000;61.0000000;61.8000000;15916300
20140725;000000;61.5900000;61.8000000;60.1800000;61.0000000;24502500
20140728;000000;60.8000000;60.8800000;57.1200000;57.6700000;28743300
20140729;000000;57.3700000;58.0800000;55.6100000;57.1700000;46534300
20140730;000000;56.7000000;58.7500000;56.3800000;57.7400000;29823500
20140731;000000;57.8000000;58.6000000;56.4700000;57.1500000;25773100
20140801;000000;56.8000000;57.4600000;55.2600000;57.1300000;33581800
20140804;000000;57.2500000;58.0200000;56.1400000;56.5800000;16685700
20140805;000000;57.0400000;57.2500000;55.6700000;56.2500000;12217800
20140806;000000;55.9700000;55.9800000;52.3500000;52.6400000;52943900
20140807;000000;51.5000000;53.4900000;50.5800000;52.7000000;59650000
20140808;000000;52.5700000;54.2700000;52.2800000;53.7000000;30950500
20140811;000000;55.0000000;57.2000000;54.9900000;57.1000000;31718200
20140812;000000;57.1000000;57.4900000;55.7200000;56.1000000;20130800
20140813;000000;56.1500000;57.1300000;56.0000000;56.9600000;14509600
20140814;000000;56.9600000;57.6200000;56.3300000;56.5700000;22489700
20140815;000000;56.7000000;57.5200000;56.2300000;57.0900000;16750200
20140818;000000;57.0200000;57.8800000;56.6500000;56.8000000;15611300
20140819;000000;57.5300000;57.5400000;56.8000000;56.9700000;12205500
20140820;000000;56.9100000;57.8000000;56.4700000;57.7900000;15568600
20140821;000000;57.7000000;59.5900000;57.6300000;59.1700000;19372600
20140822;000000;59.3000000;59.5700000;56.9000000;57.9600000;25465800
20140825;000000;58.0200000;59.0200000;58.0200000;58.7500000;12823900
