Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,62.72,63.35,62.09,62.12,696100,61.76
2013-09-19,62.78,63.04,62.18,62.58,433400,62.22
2013-09-18,62.15,62.68,61.70,62.61,363300,62.25
2013-09-17,61.80,62.42,61.49,62.38,353800,62.02
2013-09-16,61.25,61.76,60.63,61.61,504800,61.26
2013-09-13,59.64,60.53,59.26,60.34,445600,59.99
2013-09-12,60.57,61.13,59.22,59.30,560300,58.96
2013-09-11,61.10,61.25,60.27,60.77,368400,60.42
2013-09-10,59.47,61.48,59.41,61.42,998600,61.07
2013-09-09,57.72,58.66,57.48,58.53,547800,58.19
2013-09-06,57.99,58.34,56.81,57.38,394200,57.05
2013-09-05,58.12,59.28,57.92,57.96,547900,57.63
2013-09-04,56.61,58.09,56.38,57.97,628900,57.64
2013-09-03,57.68,58.30,56.07,56.49,906000,56.17
2013-08-30,57.86,58.17,56.47,56.62,696600,56.30
2013-08-29,56.86,58.35,56.56,57.73,723600,57.40
2013-08-28,56.90,57.28,56.20,56.83,651600,56.50
2013-08-27,59.35,59.35,56.38,56.97,938300,56.64
2013-08-26,61.01,61.01,60.16,60.32,644100,59.97
2013-08-23,60.36,61.06,59.94,61.00,707500,60.65
2013-08-22,58.90,60.27,58.88,60.25,417400,59.90
2013-08-21,58.41,59.03,58.05,58.65,404500,58.31
2013-08-20,57.65,58.94,57.48,58.44,627500,58.10
2013-08-19,58.67,58.68,57.32,57.39,440500,57.06
2013-08-16,57.88,59.02,57.88,58.49,516800,58.15
2013-08-15,57.96,58.64,56.83,57.91,1064800,57.58
2013-08-14,58.48,59.23,57.07,58.56,1368900,58.22
2013-08-13,60.91,60.95,56.52,58.68,3053000,58.34
2013-08-12,60.00,61.52,59.74,60.61,1093200,60.26
2013-08-09,61.62,61.92,60.06,60.19,756500,59.84
2013-08-08,61.94,62.33,61.49,61.92,984800,61.56
2013-08-07,60.70,61.35,59.66,61.07,587100,60.72
2013-08-06,62.03,62.28,59.95,60.77,945100,60.42
2013-08-05,62.72,63.46,61.61,62.04,922200,61.68
2013-08-02,62.07,63.19,60.56,63.12,762100,62.76
2013-08-01,61.51,63.25,61.44,62.42,781100,61.86
2013-07-31,60.80,61.89,60.30,61.17,695300,60.62
2013-07-30,59.94,60.68,59.05,60.28,696500,59.74
2013-07-29,62.22,62.47,59.46,59.55,1142900,59.02
2013-07-26,59.94,62.77,59.62,62.58,686300,62.02
2013-07-25,61.20,61.85,58.67,60.37,1059500,59.83
2013-07-24,62.40,62.95,61.12,61.16,696800,60.61
2013-07-23,62.67,62.77,61.06,62.00,651700,61.45
2013-07-22,61.50,62.22,60.98,62.16,619300,61.61
2013-07-19,61.00,62.04,60.78,61.25,638300,60.70
2013-07-18,61.75,62.96,61.46,61.87,972300,61.32
2013-07-17,60.20,61.96,60.09,61.71,975900,61.16
2013-07-16,61.29,61.90,59.93,60.16,803600,59.62
2013-07-15,61.12,61.58,60.50,61.07,750300,60.52
2013-07-12,59.98,62.18,59.83,61.07,1580800,60.52
2013-07-11,58.57,59.67,57.50,59.56,1525400,59.03
2013-07-10,55.63,57.94,55.15,57.54,1569000,57.03
2013-07-09,52.60,57.06,52.60,55.93,1987400,55.43
2013-07-08,52.40,52.80,51.90,51.95,939600,51.49
2013-07-05,52.50,52.58,51.71,52.28,306200,51.81
2013-07-03,51.29,52.30,51.16,51.82,574800,51.36
2013-07-02,52.89,53.07,51.84,51.95,999800,51.49
2013-07-01,52.20,53.87,52.08,52.85,959500,52.38
2013-06-28,52.05,52.90,51.46,52.00,6656600,51.54
2013-06-27,50.88,52.13,50.52,52.09,1185900,51.63
2013-06-26,51.73,51.74,50.39,50.42,775200,49.97
2013-06-25,51.35,51.71,50.86,51.19,902100,50.73
2013-06-24,51.04,51.49,50.31,50.96,864400,50.51
2013-06-21,53.91,53.93,50.96,52.15,1384600,51.68
2013-06-20,54.34,54.34,53.15,53.56,663700,53.08
2013-06-19,56.10,56.31,54.81,54.83,675500,54.34
2013-06-18,55.47,56.50,54.83,56.28,467600,55.78
2013-06-17,56.46,56.72,54.72,55.33,495300,54.84
2013-06-14,56.93,57.72,55.73,56.02,496700,55.52
2013-06-13,56.40,57.30,55.90,56.93,498300,56.42
2013-06-12,56.76,57.39,56.04,56.40,605000,55.90
2013-06-11,55.33,56.73,54.47,56.27,884300,55.77
2013-06-10,57.40,58.24,56.07,56.25,600500,55.75
2013-06-07,55.40,57.61,55.04,57.41,864900,56.90
2013-06-06,54.85,55.73,53.46,54.79,817500,54.30
2013-06-05,56.28,56.51,54.70,54.95,715400,54.46
2013-06-04,56.58,57.84,56.02,56.51,756500,56.01
2013-06-03,56.95,57.67,55.63,56.42,1353000,55.92
2013-05-31,56.05,58.27,55.76,56.82,967100,56.31
2013-05-30,55.91,56.86,55.91,56.24,630000,55.74
2013-05-29,55.87,56.62,55.15,55.95,1109200,55.45
2013-05-28,59.27,59.41,56.00,56.19,1408700,55.69
2013-05-24,58.26,58.70,57.22,58.63,612400,58.11
2013-05-23,56.90,59.38,56.71,59.16,1391500,58.63
2013-05-22,58.60,59.75,57.18,57.56,1192900,57.05
