,Квантиль,Значение
0,0.001,1.0036114765170345
1,0.002,1.0097159807218237
2,0.003,1.0152755377273774
3,0.004,1.0200743217837331
4,0.005,1.0241691759826215
5,0.006,1.027251920112339
6,0.007,1.0290462347526261
7,0.008,1.0311479295783628
8,0.009000000000000001,1.0325325572840247
9,0.010000000000000002,1.0334862736462758
10,0.011,1.0348620979179959
11,0.012,1.0366654512985645
12,0.013000000000000001,1.0379595587711006
13,0.014000000000000002,1.03914594394862
14,0.015,1.0407499190977423
15,0.016,1.041747469484902
16,0.017,1.0426862835640005
17,0.018000000000000002,1.0437488144370652
18,0.019000000000000003,1.044567692552464
19,0.02,1.0454420285364812
20,0.021,1.0463075311396974
21,0.022000000000000002,1.0469423918497234
22,0.023,1.0474740745586049
23,0.024,1.0482789977513685
24,0.025,1.0489420884444356
25,0.026000000000000002,1.0497186058697685
26,0.027000000000000003,1.0503037853091794
27,0.028,1.0507893739773404
28,0.029,1.0511498088155633
29,0.030000000000000002,1.0517790174467694
30,0.031,1.052494032714087
31,0.032,1.053211429789928
32,0.033,1.0540094349509153
33,0.034,1.054621615394942
34,0.035,1.0550233261732114
35,0.036000000000000004,1.0555358115569242
36,0.037000000000000005,1.0561765052029566
37,0.038,1.0566697761717692
38,0.039,1.0571437267396235
39,0.04,1.0574387779366732
40,0.041,1.0578378930412862
41,0.042,1.0581311183535698
42,0.043000000000000003,1.0584882743819775
43,0.044000000000000004,1.0586704665760744
44,0.045,1.059013988014136
45,0.046,1.0595918685380872
46,0.047,1.0598662168790547
47,0.048,1.0603555230353399
48,0.049,1.0608221320756008
49,0.05,1.061130240259242
50,0.051000000000000004,1.0616836946765316
51,0.052000000000000005,1.061952112161743
52,0.053000000000000005,1.0623455023775135
53,0.054,1.062584664576948
54,0.055,1.0630998047994291
55,0.056,1.0634101958269813
56,0.057,1.064191368308215
57,0.058,1.064756511020341
58,0.059000000000000004,1.0651051295739504
59,0.060000000000000005,1.0653506895234899
60,0.061,1.06576989389169
61,0.062,1.0660441817841404
62,0.063,1.0662764953255346
63,0.064,1.0664824758710572
64,0.065,1.0666703350186293
65,0.066,1.0668900676012305
66,0.067,1.067105844957216
67,0.068,1.0674599997268273
68,0.069,1.0677359691648147
69,0.07,1.0679937649056255
70,0.07100000000000001,1.0682166106845439
71,0.07200000000000001,1.0685583020122074
72,0.07300000000000001,1.06881900532755
73,0.074,1.0690409426161662
74,0.075,1.0692891930275477
75,0.076,1.0695271172777387
76,0.077,1.0697543194263408
77,0.078,1.0700102473618975
78,0.079,1.070269459145105
79,0.08,1.0703664163485789
80,0.081,1.0707626220567446
81,0.082,1.071162173196898
82,0.083,1.0715562859396859
83,0.084,1.07177273249777
84,0.085,1.0720936693607854
85,0.08600000000000001,1.072366126942403
86,0.08700000000000001,1.072600825825878
87,0.08800000000000001,1.07280174826462
88,0.089,1.0730408885551381
89,0.09,1.073439614589767
90,0.091,1.0736673595357296
91,0.092,1.0738791254531952
92,0.093,1.074129088261754
93,0.094,1.0742574580448379
94,0.095,1.0744274569169345
95,0.096,1.0747246386553861
96,0.097,1.0749949422238487
97,0.098,1.0753042403077226
98,0.099,1.075562557155951
99,0.1,1.075718469483741
100,0.101,1.075918288121521
101,0.10200000000000001,1.0760893345331577
102,0.10300000000000001,1.0763307050531274
103,0.10400000000000001,1.076464967912167
104,0.10500000000000001,1.0766419831530758
105,0.106,1.0768545322995584
106,0.107,1.07709086407794
107,0.108,1.0772706966096453
108,0.109,1.077424265032663
109,0.11,1.0776834675947353
110,0.111,1.0778459642435496
111,0.112,1.078203873504104
112,0.113,1.0783131338823684
113,0.114,1.0785038870868853
114,0.115,1.078694474069935
115,0.116,1.0788621951310025
116,0.117,1.0790986827991154
117,0.11800000000000001,1.0792874823903675
118,0.11900000000000001,1.0794126069576608
119,0.12000000000000001,1.0795243680042146
120,0.121,1.079917786072856
121,0.122,1.0801084823585994
122,0.123,1.080363944525763
123,0.124,1.0805832264892743
124,0.125,1.0807756005470108
125,0.126,1.0810726121288203
126,0.127,1.0812561935078504
127,0.128,1.0815126591361106
128,0.129,1.0817469163697362
129,0.13,1.0819298083767561
130,0.131,1.0821131120433565
131,0.132,1.0823130985883858
132,0.133,1.0824890105576965
133,0.134,1.082678087946406
134,0.135,1.0829193960761054
135,0.136,1.08312263259339
136,0.137,1.0833113857324714
137,0.138,1.0834365677045938
138,0.139,1.0836276387948836
139,0.14,1.083876004857447
140,0.14100000000000001,1.0840915654089192
141,0.14200000000000002,1.0843362170001414
142,0.14300000000000002,1.0845421981805714
143,0.14400000000000002,1.084960307388537
144,0.14500000000000002,1.0851559335096737
145,0.146,1.0852660288562381
146,0.147,1.085431994158525
147,0.148,1.0856948304397327
148,0.149,1.0858408359826504
149,0.15,1.0860099262546183
150,0.151,1.0861308679309842
151,0.152,1.0862810351743704
152,0.153,1.0864921623029715
153,0.154,1.086595031023044
154,0.155,1.0866906030449095
155,0.156,1.0868340643064789
156,0.157,1.0869932353102467
157,0.158,1.0871412889884224
158,0.159,1.0873601041768441
159,0.16,1.087565510862104
160,0.161,1.0877867750574435
161,0.162,1.0879031727333826
162,0.163,1.0880647637278738
163,0.164,1.0882939211612304
164,0.165,1.0884350361850341
165,0.166,1.0887321747313403
166,0.167,1.0889359571058632
167,0.168,1.0890527286144678
168,0.169,1.0891798312062713
169,0.17,1.0893663116668402
170,0.171,1.0895237657146681
171,0.17200000000000001,1.08968169070046
172,0.17300000000000001,1.0898094381543817
173,0.17400000000000002,1.089989573889585
174,0.17500000000000002,1.0901119131225012
175,0.17600000000000002,1.0902962241540761
176,0.177,1.090601540522878
177,0.178,1.0907714888982758
178,0.179,1.090953796313324
179,0.18,1.0910872084458505
180,0.181,1.0912612997607556
181,0.182,1.0913687352735586
182,0.183,1.0914811680862668
183,0.184,1.0916491018716
184,0.185,1.0917880293614768
185,0.186,1.0919030538589363
186,0.187,1.0921100054183857
187,0.188,1.0922268768852652
188,0.189,1.0923717013389969
189,0.19,1.0925168698226064
190,0.191,1.0926880103187855
191,0.192,1.092815268808898
192,0.193,1.092963940372822
193,0.194,1.0931650368884966
194,0.195,1.0932726652245315
195,0.196,1.0934078227382855
196,0.197,1.093608618301623
197,0.198,1.0937339810276483
198,0.199,1.093847533861961
199,0.2,1.0939351488382512
200,0.201,1.0940460546405335
201,0.202,1.0941809482866383
202,0.203,1.0943171425365479
203,0.20400000000000001,1.094471285832285
204,0.20500000000000002,1.0946278934375513
205,0.20600000000000002,1.0947338768413537
206,0.20700000000000002,1.0949341743370729
207,0.20800000000000002,1.0950395204457382
208,0.20900000000000002,1.0951297037957282
209,0.21,1.0952811018338366
210,0.211,1.0954601056361648
211,0.212,1.0956111389265897
212,0.213,1.0957530918993967
213,0.214,1.0958820702928862
214,0.215,1.096028649126696
215,0.216,1.0962632436792907
216,0.217,1.096388900693073
217,0.218,1.0964981725145762
218,0.219,1.0967068407113276
219,0.22,1.0968675698883021
220,0.221,1.0971102657428182
221,0.222,1.097244849115885
222,0.223,1.0974309686461996
223,0.224,1.0975777962900497
224,0.225,1.0976438312933188
225,0.226,1.0977439900062316
226,0.227,1.0978566080772247
227,0.228,1.0979746948865843
228,0.229,1.0980854930832895
229,0.23,1.098198077636211
230,0.231,1.0984605301526598
231,0.232,1.098640786382525
232,0.233,1.0987582624639547
233,0.234,1.0989089735254243
234,0.23500000000000001,1.0989877455362487
235,0.23600000000000002,1.0990656899109918
236,0.23700000000000002,1.099176109727453
237,0.23800000000000002,1.0993586970472982
238,0.23900000000000002,1.0994413049562426
239,0.24000000000000002,1.09956017698083
240,0.241,1.0996577849690166
241,0.242,1.0997496307941121
242,0.243,1.0998100670889315
243,0.244,1.0998991019211957
244,0.245,1.0999863112536512
245,0.246,1.100198668160162
246,0.247,1.1002864609482799
247,0.248,1.1004142494480635
248,0.249,1.1005819158748964
249,0.25,1.1006947787202292
250,0.251,1.1008764201415029
251,0.252,1.1010209184579507
252,0.253,1.1011142377467635
253,0.254,1.101246710537719
254,0.255,1.1013395488500057
255,0.256,1.1014405595826087
256,0.257,1.101578750986236
257,0.258,1.101719733386664
258,0.259,1.101820331356397
259,0.26,1.101919043797911
260,0.261,1.102075622630006
261,0.262,1.1022350626954576
262,0.263,1.102336927813831
263,0.264,1.102427625391476
264,0.265,1.102588429119657
265,0.266,1.102740629801389
266,0.267,1.1028237522981863
267,0.268,1.1029708968074985
268,0.269,1.1030872472764006
269,0.27,1.1032514589569393
270,0.271,1.1033719631423158
271,0.272,1.1034447494685253
272,0.273,1.1036502155023171
273,0.274,1.1038227077685616
274,0.275,1.1038886785735185
275,0.276,1.104008437487352
276,0.277,1.104173045578604
277,0.278,1.1042401021158939
278,0.279,1.1043645580954007
279,0.28,1.1044571222932469
280,0.281,1.1046591938788015
281,0.28200000000000003,1.104815898932566
282,0.28300000000000003,1.104917794099355
283,0.28400000000000003,1.1050785562041159
284,0.28500000000000003,1.1051908118736833
285,0.28600000000000003,1.105273060723982
286,0.28700000000000003,1.105399692024493
287,0.28800000000000003,1.1054883549806738
288,0.28900000000000003,1.1056241636528281
289,0.29,1.1057339526547407
290,0.291,1.1058817938787815
291,0.292,1.1060593897348663
292,0.293,1.1061665671206207
293,0.294,1.1062872911272417
294,0.295,1.1065888562078239
295,0.296,1.10673457605731
296,0.297,1.106861775695463
297,0.298,1.1069854513320794
298,0.299,1.1070844026303996
299,0.3,1.1072278037387921
300,0.301,1.1073028346633644
301,0.302,1.1074509512135138
302,0.303,1.1075087636108198
303,0.304,1.1076324326637428
304,0.305,1.1077225119611858
305,0.306,1.1078248991216464
306,0.307,1.1079772107331558
307,0.308,1.1081980005222087
308,0.309,1.1082931236405553
309,0.31,1.1085000108691367
310,0.311,1.108614122192769
311,0.312,1.1087701302911501
312,0.313,1.1088618819288536
313,0.314,1.1089504804095784
