,Квантиль,Значение
0,0.001,1.6264693833612582
1,0.002,1.6634944180628166
2,0.003,1.686870659065612
3,0.004,1.6961825991929873
4,0.005,1.7034532270689107
5,0.006,1.7088745788318789
6,0.007,1.7187911522093768
7,0.008,1.7227352036273156
8,0.009000000000000001,1.7262734903462178
9,0.010000000000000002,1.732767131046658
10,0.011,1.737544166816978
11,0.012,1.7403036656862143
12,0.013000000000000001,1.7454183800666252
13,0.014000000000000002,1.7486751850312356
14,0.015,1.751793910080306
15,0.016,1.7553833427501258
16,0.017,1.7573459705435115
17,0.018000000000000002,1.759643756750377
18,0.019000000000000003,1.7634569274049763
19,0.02,1.76544510608115
20,0.021,1.7683500203494564
21,0.022000000000000002,1.7704627897079428
22,0.023,1.7734083045237319
23,0.024,1.7758451380396494
24,0.025,1.777552846430218
25,0.026000000000000002,1.7811531454756273
26,0.027000000000000003,1.7832149575996759
27,0.028,1.7842035323311574
28,0.029,1.7858408083071273
29,0.030000000000000002,1.787852510239996
30,0.031,1.7891852561839
31,0.032,1.7909315306837352
32,0.033,1.7929267024196638
33,0.034,1.794868191899239
34,0.035,1.796398327317548
35,0.036000000000000004,1.7969337296537833
36,0.037000000000000005,1.7989288549933762
37,0.038,1.8012583827763347
38,0.039,1.8026767009587723
39,0.04,1.8040677913589176
40,0.041,1.8055193712539226
41,0.042,1.8077324781683897
42,0.043000000000000003,1.8089317120202835
43,0.044000000000000004,1.8106894052137918
44,0.045,1.8115667402559277
45,0.046,1.8127229423514182
46,0.047,1.8151171666155408
47,0.048,1.8164182208968758
48,0.049,1.817756754915373
49,0.05,1.8186712675449541
50,0.051000000000000004,1.8203050567109842
51,0.052000000000000005,1.8209358631908663
52,0.053000000000000005,1.8218997946111486
53,0.054,1.8227103052657512
54,0.055,1.8241226935233215
55,0.056,1.8247775681372835
56,0.057,1.8257332560970396
57,0.058,1.8267266543017677
58,0.059000000000000004,1.8280215984183197
59,0.060000000000000005,1.8295471565620662
60,0.061,1.8309988516701674
61,0.062,1.8320339337247102
62,0.063,1.8328971301201193
63,0.064,1.8337779388647721
64,0.065,1.8346242022906725
65,0.066,1.8358145153271517
66,0.067,1.83631011906776
67,0.068,1.8368054936155829
68,0.069,1.8378237485940616
69,0.07,1.8387381687854567
70,0.07100000000000001,1.8393541832917255
71,0.07200000000000001,1.8403949486189788
72,0.07300000000000001,1.8413415964257696
73,0.074,1.8419552433207342
74,0.075,1.8434336461545036
75,0.076,1.8441188501910242
76,0.077,1.8451178066786236
77,0.078,1.8458636539778748
78,0.079,1.846551720145911
79,0.08,1.8472203403130683
80,0.081,1.8479693872136644
81,0.082,1.8486051853654761
82,0.083,1.8491415098185042
83,0.084,1.849988055126119
84,0.085,1.8504863114956809
85,0.08600000000000001,1.8510297711840489
86,0.08700000000000001,1.8515304764051814
87,0.08800000000000001,1.8523534063749305
88,0.089,1.853145794387104
89,0.09,1.853625980862777
90,0.091,1.8547823768267886
91,0.092,1.855297872412815
92,0.093,1.8560366189349344
93,0.094,1.8571392435324694
94,0.095,1.8579340058078277
95,0.096,1.859074414977584
96,0.097,1.8600483467837396
97,0.098,1.8605397449395848
98,0.099,1.8612702736417523
99,0.1,1.8620866646969938
100,0.101,1.8630757405416307
101,0.10200000000000001,1.8636670809166243
102,0.10300000000000001,1.8641467759422803
103,0.10400000000000001,1.8648231601858403
104,0.10500000000000001,1.8655515888847227
105,0.106,1.8662358714947418
106,0.107,1.8670118368673008
107,0.108,1.8680355961141666
108,0.109,1.8685607383321967
109,0.11,1.869400425959897
110,0.111,1.8701088451470944
111,0.112,1.8706603078659023
112,0.113,1.8715253494021045
113,0.114,1.8720320874372598
114,0.115,1.872311941802417
115,0.116,1.8729991975302014
116,0.117,1.873551961755183
117,0.11800000000000001,1.8740701162293956
118,0.11900000000000001,1.8747359126967145
119,0.12000000000000001,1.8755527507914698
120,0.121,1.876282001940346
121,0.122,1.8767707930500277
122,0.123,1.8772065856918152
123,0.124,1.8781184163547358
124,0.125,1.878620776083137
125,0.126,1.8791832265033612
126,0.127,1.8794940167782588
127,0.128,1.8799690013106312
128,0.129,1.8805573632296264
129,0.13,1.881128035914134
130,0.131,1.8815116847844886
131,0.132,1.8821638509295529
132,0.133,1.8827817629461867
133,0.134,1.8832056832028736
134,0.135,1.8839785039839632
135,0.136,1.8844266335410613
136,0.137,1.8851807380687686
137,0.138,1.8859046795860763
138,0.139,1.8864331773906307
139,0.14,1.88692001373351
140,0.14100000000000001,1.8873874691440993
141,0.14200000000000002,1.888078600367916
142,0.14300000000000002,1.8889694110386486
143,0.14400000000000002,1.8898846380158458
144,0.14500000000000002,1.8908060454538498
145,0.146,1.8913288880848331
146,0.147,1.8916992476497723
147,0.148,1.8927657154360573
148,0.149,1.8935545768840953
149,0.15,1.8941635155439025
150,0.151,1.8949663559902752
151,0.152,1.8954539106877208
152,0.153,1.895822702046195
153,0.154,1.8963421960356932
154,0.155,1.8967759991395576
155,0.156,1.8971921914761356
156,0.157,1.8977805594476735
157,0.158,1.897946481514007
158,0.159,1.898302313869964
159,0.16,1.8986774097127652
160,0.161,1.899222417693108
161,0.162,1.8999216348862473
162,0.163,1.9004111151445522
163,0.164,1.9009574520408425
164,0.165,1.901353450928323
165,0.166,1.9018251273971454
166,0.167,1.902305456368378
167,0.168,1.9026389310323935
168,0.169,1.9031158485272615
169,0.17,1.9033860488418417
170,0.171,1.9038544607654342
171,0.17200000000000001,1.9044372187352445
172,0.17300000000000001,1.9049999698404112
173,0.17400000000000002,1.905373168798441
174,0.17500000000000002,1.9056672100669
175,0.17600000000000002,1.9061521333585698
176,0.177,1.906997562884328
177,0.178,1.9073263810489933
178,0.179,1.9079734248002473
179,0.18,1.9084875127427259
180,0.181,1.9089049116919963
181,0.182,1.9095276211765921
182,0.183,1.9099109738635618
183,0.184,1.910246988693956
184,0.185,1.910721204088854
185,0.186,1.911252662132663
186,0.187,1.9117042807047022
187,0.188,1.912110934950878
188,0.189,1.9128445339016849
189,0.19,1.9132262626401983
190,0.191,1.9135470405777761
191,0.192,1.913778414332611
192,0.193,1.9141592970342305
193,0.194,1.9148417620479865
194,0.195,1.9153631786359884
195,0.196,1.915935593906568
196,0.197,1.9161887030891773
197,0.198,1.9167824630191987
198,0.199,1.9172180755029502
199,0.2,1.9178038546285305
200,0.201,1.9184567881557335
201,0.202,1.9188643183468126
202,0.203,1.9192423747324536
203,0.20400000000000001,1.9196359196819666
204,0.20500000000000002,1.9199696892500047
205,0.20600000000000002,1.9203939109420693
206,0.20700000000000002,1.9206931650065806
207,0.20800000000000002,1.9212340112094077
208,0.20900000000000002,1.9215874381040834
209,0.21,1.9219883722560596
210,0.211,1.9222713209289661
211,0.212,1.922779900747503
212,0.213,1.9231142302466881
213,0.214,1.9234915143242337
214,0.215,1.9238186413475118
215,0.216,1.9241386603070822
216,0.217,1.924318941998951
217,0.218,1.9246522464374016
218,0.219,1.9249413624499674
219,0.22,1.9252266948835666
220,0.221,1.925550793502878
221,0.222,1.9260796431647704
222,0.223,1.9264017716740554
223,0.224,1.9267747943316524
224,0.225,1.9271536516925019
225,0.226,1.927666055291855
226,0.227,1.9281953071109097
227,0.228,1.9285952202669654
228,0.229,1.9291715809678311
229,0.23,1.9295925805668745
230,0.231,1.9301069865118499
231,0.232,1.930446789864937
232,0.233,1.9311785970000068
233,0.234,1.9316877313385072
234,0.23500000000000001,1.9321307053877537
235,0.23600000000000002,1.9324914707889027
236,0.23700000000000002,1.9331479635015678
237,0.23800000000000002,1.933926999631791
238,0.23900000000000002,1.9342041859164911
239,0.24000000000000002,1.9345016316588315
240,0.241,1.9349417932114592
241,0.242,1.9353770258174268
242,0.243,1.935752467828392
243,0.244,1.9363924370135672
244,0.245,1.936844534330313
245,0.246,1.9371002190059425
246,0.247,1.9375645097637837
247,0.248,1.937867142278852
248,0.249,1.9381988987334928
249,0.25,1.9386253535029192
250,0.251,1.9389043430554214
251,0.252,1.9392125136127958
252,0.253,1.9394472816354975
253,0.254,1.9397769642781124
254,0.255,1.940176075434115
255,0.256,1.940533560756787
256,0.257,1.9409848446968097
257,0.258,1.9412151139273974
258,0.259,1.941478851311244
259,0.26,1.9419520785825402
260,0.261,1.9422449969821671
261,0.262,1.9425220706978963
262,0.263,1.9430370645543986
263,0.264,1.9432902502723945
264,0.265,1.9436828733864893
265,0.266,1.943972436239735
266,0.267,1.944225940166616
267,0.268,1.9444646886855272
268,0.269,1.9447241414298102
